# look here		kàn zhèli	看这里
# open your book		bǎ shū dǎkāi	把书打开
# come to the front	dào qiánmiàn lái	到前面来
# return to your seat, please	qǐng huí zuòwèi	请回座位
# sit properly please	qǐng zuò hǎo	请坐好
# please raise your hand	qǐng jǔ shoǔ	请举手
# put down your hand	bǎ shǒu fàngxià	把手放下
# a little louder		dà shēng diǎnr	大声点儿
# say it again		zài shuō yí cì	再说一次
# very good		hěn hǎo	很好
# extremely good		fēicháng hǎo	非常好
# Are you busy?		Nǐ máng ma?	你忙吗？
# Where are you going?	Shàng nǎr qù?	上哪儿去？
# How is everything?	Zěnmeyàng?	怎么样？
# Have you eaten?		Chīfàn le ma?	吃饭了吗？
# Goodbye, teacher	lǎoshī zàijiàn.	老师再见
# Hello, fellow classmates.	tóngxuémen hǎo	同学们好
# I am Lanlan.		wǒ shì Lánlán.	我是兰兰。

:poss :n1 is :prep :n2	:poss :n1 zài :n2 :prep	XXX
There is :n1 :prep :n2	:n2 :prep yǒu :n1 		XXX
:poss :n is :iprep  		:poss :n zài :iprep		XXX
Excuse me, where is the :n ?	qǐngwèn, :n zài nǎr?		XXX
There are :num :n :iprep .	:iprep yǒu :num jiān :n .	XXX
The :n1 is :prep the :n2 .	:n1 zài :n2 :prep		XXX
When is :poss birthday?		:poss shēngrì shì shénme shíhòu?	XXX
:tm is :poss birthday.		:tm shì :poss shēngrì.		:tm 是 :poss 生日。
Whose birthday was :tm ?	:tm shì shéide shēngrì?		:tm 是谁的生日？
What day is :tm ?	:tm xīngqī jǐ?	:tm 星期几？
next :dow is :poss birthday.	xiàge :dow shì :poss shēngrì.	下个 :dow 是 :poss  生日。
9/29/2017	èr líng yī qī nián jiǔyuè èrshíjiǔrì	二0一七年九月二十九日
What's today's date?	jīntiān jǐyuèjǐhào?	今天几月几号？
Happy Birthday to You!		zhù nǐ shēngrì kuàilè!	祝你生日快乐！
Which year were you born?	nǐ shì nǎnián shēngde?	你是哪年生的？
go to sleep			shuìjiào		睡觉
school's over			fàngxué			放学




# Your cell phone is in front of the computer.	nǐde shǒujī zài diànnǎo qiánmiàn.	你的手机在电脑前面。
# There are ice creams in the refrigerator.	diànbīngxiāng lǐmiàn yǒu bīngqílín.	电冰箱里面有冰淇淋。

# My house has multi-stories	wǒjiā shì lóufáng	我家是楼房
# There are 4 bedrooms & 3 baths.	yǒu sì jiān wòshì hé sān jiān yùshì.	有四间卧室和三间浴室。
# My dog loves to sleep on the sofa.	wǒde gǒu xǐhuān zài shāfā shàngmiàn shuìjiào.	我的狗喜欢在沙发上面睡觉。
# Where do you watch TV?		nǐ zài nǎr kàndiànshì?	你在哪儿看电视？
# Behind our living room is the dining room.	wǒjiā de kètīng hòumiàn shì fàntīng.	我家的客厅后面是饭厅。
# #Our washing machine is upstairs。	wǒmen de xǐyījī zài lóu shàng.	我们的洗衣机在楼上。
# Excuse me, where is the bathroom(toilet)?	qǐngwèn, cèsuǒ zài nǎr?	请问，厕所在哪儿？
# The dining room is facing the kitchen.	fàntīng zài chúfáng duìmiàn.	饭厅在厨房对面。
# I do my homework in my bedroom.	wǒ zài wǒde wòshì zuò gōngkè.	我在我的卧室做功课。
# There are 2 bathrooms downstairs.	lóuxià yǒu liǎngjiān yùshì.	楼下有两间浴室。
# Is your car in the garage?	nǐde chē zài chēkù ma?	你的车在车库吗？


What are you doing?	nǐ zài zuò shénme?	你在做什么？
What time is it？	xiànzài jǐdiǎn？	现在几点？
good night		wǎnshàng hǎo		晚上好
Did :pro eat :meal ?	:pro yǒuméiyǒu chī :meal ?	:pro 有没有吃 :meal ？
When do you eat :meal ?	nǐmen shénme shíhòu chī :meal ?	你们什么时候吃 :meal ？

What are :pro doing?	:pro zài zuò shénme?	:pro 在做什么？

